Year,Sector,Fuel.Type,Methane.emissions,Industry.Type
2013,Power Plants,3,1.5,"C,D"
2013,Power Plants,2,5.25,"C,D"
2013,Power Plants,3,1.5,"C,D"
2013,Power Plants,2,181.25,"C,D"
2013,Power Plants,2,171,"C,D"
2013,Power Plants,2,11,"C,D"
2012,Power Plants,2,10.5,"C,D"
2012,Power Plants,3,1.25,"C,D"
2012,Power Plants,2,4.75,"C,D"
2012,Power Plants,3,1.25,"C,D"
2012,Power Plants,2,7,"C,D"
2012,Power Plants,3,1.25,"C,D"
2012,Power Plants,2,207.5,"C,D"
2012,Power Plants,2,202.75,"C,D"
2012,Power Plants,2,44.75,"C,D"
2011,Power Plants,2,4,"C,D"
2011,Power Plants,3,1,"C,D"
2011,Power Plants,2,8.5,"C,D"
2011,Power Plants,3,1.5,"C,D"
2011,Power Plants,2,4.5,"C,D"
2011,Power Plants,3,1.25,"C,D"
2011,Power Plants,2,151,"C,D"
2011,Power Plants,2,132,"C,D"
2011,Power Plants,2,18.25,"C,D"
2022,Power Plants,2,9,D
2022,Power Plants,2,4,D
2021,Power Plants,2,3.5,D
2021,Power Plants,2,3.5,D
2020,Power Plants,2,7.5,D
2020,Power Plants,2,3,D
2019,Power Plants,2,2.5,D
2019,Power Plants,2,1.25,D
2018,Power Plants,2,3.5,D
2018,Power Plants,2,1.5,D
2017,Power Plants,2,5,D
2017,Power Plants,2,2.75,D
2016,Power Plants,2,0.25,D
2016,Power Plants,2,8.5,D
2015,Power Plants,2,0.25,D
2015,Power Plants,2,1,D
2014,Power Plants,2,1.5,D
2014,Power Plants,2,2.5,D
2013,Power Plants,2,2.5,D
2013,Power Plants,2,2,D
2012,Power Plants,2,7,D
2012,Power Plants,2,6.25,D
2011,Power Plants,2,3.5,D
2011,Power Plants,2,1.25,D
2012,Power Plants,4,1,D
2022,Power Plants,2,23.25,D
2022,Power Plants,2,23,D
2022,Power Plants,2,29,D
2022,Power Plants,2,26.75,D
2021,Power Plants,2,26,D
2021,Power Plants,2,24.5,D
2021,Power Plants,2,23,D
2021,Power Plants,2,20.25,D
2020,Power Plants,2,56.25,D
2020,Power Plants,2,56.25,D
2020,Power Plants,2,51.5,D
2020,Power Plants,2,51,D
2019,Power Plants,2,20.75,D
2019,Power Plants,2,20.75,D
2019,Power Plants,2,19.5,D
2019,Power Plants,2,19,D
2018,Power Plants,2,17.5,D
2018,Power Plants,2,17.25,D
2018,Power Plants,2,23.5,D
2018,Power Plants,2,22.75,D
2017,Power Plants,2,9.25,D
2017,Power Plants,2,8.75,D
2017,Power Plants,2,9.5,D
2017,Power Plants,2,9.25,D
2016,Power Plants,2,22.25,D
2016,Power Plants,2,22.5,D
2016,Power Plants,2,21.5,D
2016,Power Plants,2,21.25,D
2015,Power Plants,2,1.25,D
2015,Power Plants,2,1.5,D
2015,Power Plants,2,1.5,D
2015,Power Plants,2,1,D
2014,Power Plants,2,0.75,D
2014,Power Plants,2,0.75,D
2014,Power Plants,2,0.5,D
2014,Power Plants,2,0.5,D
2013,Power Plants,2,6,D
2013,Power Plants,2,6.25,D
2013,Power Plants,2,6,D
2013,Power Plants,2,6,D
2012,Power Plants,2,9.5,D
2012,Power Plants,2,9.25,D
2012,Power Plants,2,9.5,D
2012,Power Plants,2,9.25,D
2011,Power Plants,2,2.25,D
2011,Power Plants,2,2.25,D
2011,Power Plants,2,2,D
2011,Power Plants,2,2,D
2022,Power Plants,2,65.25,"C,D"
2022,Power Plants,2,63.75,"C,D"
2022,Power Plants,2,0.75,"C,D"
2022,Power Plants,2,1,"C,D"
2021,Power Plants,2,65.25,"C,D"
2021,Power Plants,2,60.25,"C,D"
2021,Power Plants,2,7.75,"C,D"
2021,Power Plants,2,1.25,"C,D"
2020,Power Plants,2,64.25,"C,D"
2020,Power Plants,2,63,"C,D"
2020,Power Plants,1,24.5,"C,D"
2020,Power Plants,2,8,"C,D"
2019,Power Plants,2,60.25,"C,D"
2019,Power Plants,2,52.25,"C,D"
2019,Power Plants,1,139.75,"C,D"
2019,Power Plants,1,34.75,"C,D"
2019,Power Plants,1,16.75,"C,D"
2019,Power Plants,2,9,"C,D"
2018,Power Plants,2,59,"C,D"
2018,Power Plants,2,52.5,"C,D"
2018,Power Plants,1,926.25,"C,D"
2018,Power Plants,4,0.25,"C,D"
2018,Power Plants,1,289.25,"C,D"
2018,Power Plants,4,0.25,"C,D"
2018,Power Plants,1,247,"C,D"
2018,Power Plants,2,6,"C,D"
2018,Power Plants,2,0.25,"C,D"
2017,Power Plants,2,52.75,"C,D"
2017,Power Plants,2,43,"C,D"
2017,Power Plants,1,732.5,"C,D"
2017,Power Plants,4,0.25,"C,D"
2017,Power Plants,1,639.25,"C,D"
2017,Power Plants,4,0.25,"C,D"
2017,Power Plants,1,69.5,"C,D"
2017,Power Plants,2,32,"C,D"
2016,Power Plants,2,47.25,"C,D"
2016,Power Plants,2,60.5,"C,D"
2016,Power Plants,1,724.25,"C,D"
2016,Power Plants,4,0.25,"C,D"
2016,Power Plants,1,871,"C,D"
2016,Power Plants,1,424,"C,D"
2016,Power Plants,2,6,"C,D"
2015,Power Plants,1,18,"C,D"
2015,Power Plants,2,47,"C,D"
2015,Power Plants,2,55.25,"C,D"
2015,Power Plants,1,42.5,"C,D"
2015,Power Plants,1,591.75,"C,D"
2015,Power Plants,4,0.25,"C,D"
2015,Power Plants,1,659,"C,D"
2015,Power Plants,4,0.25,"C,D"
2015,Power Plants,1,539.75,"C,D"
2015,Power Plants,2,10.5,"C,D"
2014,Power Plants,1,131.75,"C,D"
2014,Power Plants,4,0.5,"C,D"
2014,Power Plants,2,53.75,"C,D"
2014,Power Plants,2,44.5,"C,D"
2014,Power Plants,1,204,"C,D"
2014,Power Plants,4,0.25,"C,D"
2014,Power Plants,1,323.25,"C,D"
2014,Power Plants,4,0.25,"C,D"
2014,Power Plants,1,663,"C,D"
2014,Power Plants,4,0.25,"C,D"
2014,Power Plants,1,828.5,"C,D"
2014,Power Plants,2,9.5,"C,D"
2013,Power Plants,1,61.5,"C,D"
2013,Power Plants,2,20.75,"C,D"
2013,Power Plants,1,63.25,"C,D"
2013,Power Plants,2,15.25,"C,D"
2013,Power Plants,1,284.5,"C,D"
2013,Power Plants,1,686,"C,D"
2013,Power Plants,1,230.5,"C,D"
2013,Power Plants,1,709.75,"C,D"
2013,Power Plants,2,76,"C,D"
2013,Power Plants,1,71.75,"C,D"
2013,Power Plants,1,54.75,"C,D"
2013,Power Plants,1,63.5,"C,D"
2012,Power Plants,1,178,"C,D"
2012,Power Plants,1,214.25,"C,D"
2012,Power Plants,1,347,"C,D"
2012,Power Plants,1,977.75,"C,D"
2012,Power Plants,1,480,"C,D"
2012,Power Plants,1,1310.25,"C,D"
2012,Power Plants,1,117.5,"C,D"
2012,Power Plants,1,92,"C,D"
2012,Power Plants,1,110.75,"C,D"
2012,Power Plants,2,0.25,"C,D"
2011,Power Plants,1,457.5,"C,D"
2011,Power Plants,1,446.75,"C,D"
2011,Power Plants,1,437.25,"C,D"
2011,Power Plants,4,0.25,"C,D"
2011,Power Plants,1,1306,"C,D"
2011,Power Plants,1,901.25,"C,D"
2011,Power Plants,1,1327.5,"C,D"
2011,Power Plants,1,119.25,"C,D"
2011,Power Plants,1,129,"C,D"
2011,Power Plants,1,110,"C,D"
2011,Power Plants,1,3.5,"C,D"
2011,Power Plants,2,0.25,"C,D"
2016,Power Plants,1,215,"C,D"
2016,Power Plants,2,4.75,"C,D"
2016,Power Plants,3,182,"C,D"
2015,Power Plants,1,649.75,"C,D"
2015,Power Plants,2,4.5,"C,D"
2015,Power Plants,3,380.5,"C,D"
2014,Power Plants,1,855.75,"C,D"
2014,Power Plants,2,0.25,"C,D"
2014,Power Plants,3,214,"C,D"
2013,Power Plants,1,64,"C,D"
2013,Power Plants,3,70.5,"C,D"
2013,Power Plants,4,0.5,"C,D"
2012,Power Plants,1,94.5,"C,D"
2012,Power Plants,3,53.5,"C,D"
2012,Power Plants,4,0.75,"C,D"
2011,Power Plants,1,89.25,"C,D"
2011,Power Plants,4,2.75,"C,D"
2022,Power Plants,1,2902.25,"C,D"
2022,Power Plants,4,0.25,"C,D"
2022,Power Plants,2,50,"C,D"
2022,Power Plants,2,57.75,"C,D"
2022,Power Plants,2,18.5,"C,D"
2022,Power Plants,4,0.5,"C,D"
2022,Power Plants,2,0.25,"C,D"
2022,Power Plants,2,0.75,"C,D"
2021,Power Plants,1,2552.5,"C,D"
